Suburb,Investor Score,12M Growth (%),10Y Growth (%),Growth Gap,Growth Gap,Rent Affordability,Buy Affordability,Yield,Yield
Armatree,74,2.589641434262948,93,0.23657766494198004,90,79,100,9.75,100
Armidale,77,4.615384615384616,74,0.2984867379186813,68,100,100,4.941520467836257,98
Armidale,65,7.368421052631578,74,0.2984867379186813,90,57,100,4.564885496183206,89
Arncliffe,72,7.6923076923076925,100,0.19728096795690878,68,57,100,5.301960784313726,100
Arncliffe,67,10.882352941176471,100,0.19728096795690878,90,10,49,2.439293598233996,34
Arrawarra,77,2.4691358024691357,100,0.14154186033791,90,10,12,3.8850574712643677,71
Arrawarra Headland,74,2.4691358024691357,100,0.14154186033791,90,45,87,3.8850574712643677,71
Artarmon,73,4.060913705583756,100,0.1901805871638555,68,99,98,3.419178082191781,59
Artarmon,66,6.853582554517133,100,0.1901805871638555,90,10,10,2.1311475409836063,26
Ashbury,70,10.06993006993007,100,0.2212258149930778,68,100,100,4.46875,86
Ashbury,68,5.578512396694215,100,0.2212258149930778,90,67,52,2.191343963553531,28
Ashby (NSW),64,-0.8064516129032258,100,0.20051123432038115,90,10,80,3.774814814814815,68
Ashby Heights,63,-0.8064516129032258,100,0.20051123432038115,90,12,87,3.774814814814815,68
Ashcroft,76,3.2911392405063293,100,0.13183006666004277,68,40,44,2.311111111111111,31
Ashcroft,62,5.865384615384615,100,0.13183006666004277,90,10,55,3.2176795580110493,54
Ashfield (NSW),71,10.06993006993007,100,0.2212258149930778,68,81,97,3.809302325581395,69
Ashfield (NSW),63,5.578512396694215,100,0.2212258149930778,90,10,23,2.0552380952380953,24
Ashford (NSW),84,3.733333333333334,95,0.2700902155739978,90,42,100,9.578947368421051,100
Ashley,64,11.864406779661017,1,0.08689564238623415,90,100,100,8.300469483568076,100
Ashmont,72,-3.4229828850855744,100,0.3046442117563257,68,51,100,5.250485436893204,100
Ashmont,67,4.761904761904762,100,0.3046442117563257,90,36,100,5.529113924050632,100
Ashtonfield,80,-1.9230769230769231,100,0.2412919137890668,68,100,100,4.68,92
Ashtonfield,66,4.895104895104895,100,0.2412919137890668,90,68,100,3.876146788990826,71
Asquith,72,3.4246575342465753,100,0.23991577685197668,68,100,100,3.7977528089887644,69
Asquith,65,10.120481927710843,100,0.23991577685197668,90,28,51,2.21,28
Attunga,75,13.924050632911392,53,0.1866766650981241,90,94,100,4.9739130434782615,99
Auburn (NSW),70,0.7575757575757576,100,0.3406142994896833,68,45,100,5.915596330275229,100
Auburn (NSW),69,16.878267363704257,100,0.3406142994896833,90,10,46,2.7857142857142856,43
Auburn Vale,73,3.733333333333334,95,0.2700902155739978,90,100,100,6.186206896551724,100
Austinmer,73,0.6896551724137931,100,0.13033572132417115,68,100,94,2.704,41
Austinmer,69,1.214574898785425,100,0.13033572132417115,90,56,65,2.693877551020408,41
Austral,77,5.865384615384615,100,0.13183006666004277,90,74,90,3.482142857142857,61
Austral,61,3.2911392405063293,100,0.13183006666004277,68,100,100,0.0,10
Austral Eden,69,-2.2222222222222223,100,0.2752797576927607,90,32,84,3.3121019108280256,57
Avalon Beach,71,4.651162790697675,100,0.05934304230393405,68,99,100,4.137634408602151,78
Avalon Beach,58,3.404255319148936,100,0.05934304230393405,90,10,28,2.4528301886792456,35
Avoca (NSW),75,-8.584070796460178,100,-0.10726914683396865,100,74,88,3.38,58
Avoca Beach,73,3.4975017844396863,100,0.08940914281751242,68,100,90,2.8188911704312116,44
Avoca Beach,68,5.311355311355311,100,0.08940914281751242,90,63,73,2.8815286624203824,46
Avondale (NSW),81,8.65874363327674,100,0.049414349016912336,68,84,100,4.075235109717868,76
Avondale (NSW),79,6.985525487728131,100,0.049414349016912336,90,44,89,4.03,75
Avonside,75,-6.086956521739131,100,0.22771762571377427,90,100,100,4.662068965517242,91
Awaba,74,3.1055900621118013,100,0.13754902670373031,90,79,95,3.689296636085627,66
Aylmerton,71,-8.584070796460178,100,-0.10726914683396865,100,61,93,3.928888888888889,72
Baan Baa,72,11.864406779661017,1,0.08689564238623415,90,100,100,7.969348659003832,100
Backmede,74,9.042553191489363,100,0.26190238077666794,90,100,100,4.606299212598426,90
Balaclava (NSW),83,-8.584070796460178,100,-0.10726914683396865,100,79,98,3.928888888888889,72
Balala,69,7.368421052631578,74,0.2984867379186813,90,80,100,5.2,100
Balcolyn,61,3.1055900621118013,100,0.13754902670373031,90,10,84,3.6758620689655173,66
Bald Hills (NSW),70,0.6172839506172839,100,0.15273739247660534,90,21,80,3.8285714285714283,70
Balgowlah,74,11.301369863013697,100,0.25098703028028546,68,100,100,3.594782608695652,64
Balgowlah,60,-1.1904761904761905,100,0.25098703028028546,90,10,17,2.732484076433121,42
Balgowlah Heights,63,-1.1904761904761905,100,0.25098703028028546,90,10,61,3.2054794520547945,54
Balgownie,71,1.214574898785425,100,0.13033572132417115,90,42,67,2.9472924187725633,47
Balgownie,68,0.6896551724137931,100,0.13033572132417115,68,78,96,3.8192090395480225,70
Balladoran,74,2.589641434262948,93,0.23657766494198004,90,81,100,9.75,100
Balldale,67,6.521739130434782,100,0.33041319950336856,90,63,96,4.1415929203539825,78
Ballimore,66,2.589641434262948,93,0.23657766494198004,90,100,100,3.3222222222222224,57
Ballina,71,0.6622516556291391,100,0.17659667725785103,68,10,76,4.3999999999999995,85
Ballina,68,9.090909090909092,100,0.17659667725785103,90,10,46,3.956521739130435,73
Balmain,75,5.769230769230769,100,0.059653876429739516,68,100,93,2.7560000000000002,42
Balmain,53,4.245283018867925,100,0.059653876429739516,90,33,57,2.3252032520325203,31
Balmain East,72,5.769230769230769,100,0.059653876429739516,68,100,91,2.5745928338762214,38
Balmain East,56,4.245283018867925,100,0.059653876429739516,90,13,49,2.3360902255639098,31
Balmoral (Lake Macquarie - NSW),84,3.1055900621118013,100,0.13754902670373031,90,79,99,3.9764705882352938,74
Balmoral (Wingecarribee - NSW),70,-8.584070796460178,100,-0.10726914683396865,100,100,100,3.6923076923076925,66
Balranald,86,20.3125,100,0.2624556593902212,90,10,100,9.980645161290322,100
Bandon Grove,70,4.838709677419355,100,0.2883666386675438,90,78,94,3.6202531645569622,65
Bangalee (NSW),83,3.79746835443038,100,0.07134513554307377,90,100,100,3.989041095890411,74
Bangalow,66,0.6622516556291391,100,0.17659667725785103,68,100,46,1.5873684210526313,12
Bangalow,61,9.090909090909092,100,0.17659667725785103,90,10,79,3.8,69
Bango,65,13.924050632911392,100,0.3378838193852186,90,85,95,2.9952,48
Bangor (NSW),70,7.586206896551724,100,0.15156407733613272,90,59,83,3.364705882352941,58
Bangor (NSW),63,6.7114093959731544,100,0.15156407733613272,68,100,100,3.434862385321101,60
Banksia,70,10.882352941176471,100,0.19728096795690878,90,36,52,2.554913294797688,37
Banksia,62,7.6923076923076925,100,0.19728096795690878,68,79,100,5.12463768115942,100
Banksmeadow,61,12.5,100,0.0018858645390489263,68,79,100,0.0,10
Bankstown,78,13.793103448275861,100,0.2270612620050571,68,21,100,5.831775700934579,100
Bankstown,68,12.705882352941176,100,0.2270612620050571,90,10,17,2.5145067698259185,36
Bannister (NSW),72,3.3333333333333335,100,0.08949970660027125,90,100,100,3.7765363128491622,69
Banora Point,64,12.375533428165006,100,0.30796324565638616,68,10,78,4.431818181818182,85
Banora Point,59,13.452380952380953,100,0.30796324565638616,90,10,51,3.781818181818182,69
Bar Beach,75,6.153846153846154,100,0.15145028935713895,68,100,100,3.953216374269006,73
Bar Beach,56,6.358381502890173,100,0.15145028935713895,90,85,63,2.2285714285714286,29
Bar Point,57,5.311355311355311,100,0.08940914281751242,90,10,10,2.133793103448276,26
Baradine,88,2.589641434262948,93,0.23657766494198004,90,68,100,7.3999999999999995,100
Barangaroo,64,1.6216216216216217,96,0.04403307908723426,68,61,100,0.0,10
Barden Ridge,72,7.586206896551724,100,0.15156407733613272,90,72,87,3.3255813953488373,57
Barden Ridge,70,6.7114093959731544,100,0.15156407733613272,68,100,100,3.434862385321101,60
Bardia,74,8.155688622754491,100,0.07433355315027862,90,93,100,4.482758620689655,87
Bardia,55,5.535714285714286,100,0.07433355315027862,68,100,100,0.0,10
Bardwell Park,85,7.6923076923076925,100,0.19728096795690878,68,100,100,4.515789473684211,88
Bardwell Park,73,10.882352941176471,100,0.19728096795690878,90,59,56,2.381679389312977,33
Bardwell Valley,77,7.6923076923076925,100,0.19728096795690878,68,61,100,5.253886010362694,100
Bardwell Valley,72,10.882352941176471,100,0.19728096795690878,90,45,52,2.4555555555555557,35
Barellan,90,14.666666666666666,76,0.03605019129133249,90,100,100,5.83030303030303,100
Bargo,71,5.0,100,0.10791346544966449,90,76,84,3.1252525252525256,52
Bargo,66,10.16949152542373,100,0.10791346544966449,68,100,100,2.5022556390977444,36
Barham,87,6.521739130434782,100,0.33041319950336856,90,77,100,5.4399999999999995,100
Barkers Vale,66,9.042553191489363,100,0.26190238077666794,90,10,75,4.588235294117647,89
Barmedman,77,4.761904761904762,100,0.3046442117563257,90,10,100,12.479999999999999,100
Barnsley,79,3.1055900621118013,100,0.13754902670373031,90,65,97,4.172839506172839,79
Barooga,83,-1.4285714285714286,100,0.33041319950336856,68,100,100,5.108771929824561,100
Barooga,81,6.521739130434782,100,0.33041319950336856,90,88,100,4.766666666666667,94
Barraba,74,13.924050632911392,53,0.1866766650981241,90,54,100,7.027027027027027,100
Barrack Heights,80,5.0359712230215825,100,0.13077183055816813,68,46,94,4.32,83
Barrack Heights,69,9.137055837563452,100,0.13077183055816813,90,10,75,3.849658314350797,70
Barrack Point,70,5.0359712230215825,100,0.13077183055816813,68,62,100,4.810884353741496,95
Barrack Point,66,9.137055837563452,100,0.13077183055816813,90,10,72,3.328,57
Barraganyatti,79,-2.2222222222222223,100,0.2752797576927607,90,29,72,3.3121019108280256,57
Barragga Bay,80,0.6172839506172839,100,0.15273739247660534,90,15,73,3.579474342928661,63
Barrengarry,68,3.79746835443038,100,0.07134513554307377,90,73,83,3.1199999999999997,52
Barrington (NSW),66,0.8064516129032258,100,0.2200304128007434,90,36,100,4.543689320388349,88
Barry (Blayney - NSW),66,-1.4848484848484849,100,0.24618442769337176,90,73,100,4.444444444444445,86
Barwang,74,13.924050632911392,100,0.3378838193852186,90,100,100,4.901149425287357,97
Basin View,63,3.79746835443038,100,0.07134513554307377,90,10,85,4.0711743772241995,76
Bass Hill,80,13.793103448275861,100,0.2270612620050571,68,34,79,3.6069364161849715,64
Bass Hill,67,12.705882352941176,100,0.2270612620050571,90,10,43,3.3484848484848486,58
Bateau Bay,78,-0.6611570247933884,100,0.1246286821937022,68,71,94,3.781818181818182,69
Bateau Bay,60,5.521472392638037,100,0.1246286821937022,90,10,59,2.888888888888889,46
Batehaven,79,0.9523809523809524,100,0.15273739247660534,68,61,100,4.6967741935483875,92
Batehaven,65,0.6172839506172839,100,0.15273739247660534,90,10,71,3.2877419354838713,56
Batemans Bay,76,0.9523809523809524,100,0.15273739247660534,68,10,82,4.6967741935483875,92
Batemans Bay,66,0.6172839506172839,100,0.15273739247660534,90,10,42,3.6746666666666665,66
Bathurst,76,5.681818181818182,100,0.20903402520610842,68,86,100,4.361290322580645,84
Bathurst,65,3.937007874015748,100,0.20903402520610842,90,17,88,3.7600000000000002,68
Batlow,86,5.617977528089887,100,0.3202789724581078,90,81,100,5.445427728613569,100
Baulkham Hills,71,-1.3333333333333335,100,0.15375308806592608,68,100,100,3.491735537190083,61
Baulkham Hills,67,7.380952380952381,100,0.15375308806592608,90,90,60,2.08,25
Baw Baw (NSW),67,3.3333333333333335,100,0.08949970660027125,90,100,100,3.7765363128491622,69
Bawley Point,76,3.79746835443038,100,0.07134513554307377,90,25,64,3.091891891891892,51
Bayview (NSW),79,4.651162790697675,100,0.05934304230393405,68,67,86,3.3676190476190477,58
Bayview (NSW),62,3.404255319148936,100,0.05934304230393405,90,10,10,2.601057892948998,38
Beacon Hill,74,8.0,100,0.10519982826016043,68,100,85,1.812121212121212,18
Beacon Hill,70,4.99790004199916,100,0.10519982826016043,90,60,62,2.542222222222222,37
Beaconsfield (NSW),82,1.6216216216216217,96,0.04403307908723426,68,93,100,5.428571428571429,100
Beaconsfield (NSW),65,4.391534391534392,96,0.04403307908723426,90,10,63,2.7837259100642395,43
Beaumont (NSW),78,3.79746835443038,100,0.07134513554307377,90,55,76,3.1199999999999997,52
Beaumont Hills,71,1.7647058823529411,100,0.30837092644453756,90,100,86,2.628260869565217,39
Beckom,74,4.761904761904762,100,0.3046442117563257,90,34,100,12.479999999999999,100
Bective,69,13.924050632911392,53,0.1866766650981241,90,100,100,4.9739130434782615,99
Bedgerabong,89,7.6923076923076925,100,0.25396913557084333,90,91,100,4.757446808510638,94
Beechwood,64,4.375,100,0.15000811179637177,90,58,99,4.496240601503759,87
Beecroft,78,0.12484394506866417,100,0.20395521790979335,68,100,86,2.1993957703927496,28
Beecroft,62,4.864864864864865,100,0.20395521790979335,90,47,52,2.0594059405940595,24
Beelbangera,82,14.666666666666666,76,0.03605019129133249,90,100,100,3.9,72
Bega,80,0.9523809523809524,100,0.15273739247660534,68,80,89,3.301587301587302,56
Bega,71,0.6172839506172839,100,0.15273739247660534,90,17,91,4.669387755102041,91
